source,target
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM51WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM51WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM52WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM52WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM53WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM53WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM54WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM54WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM55WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM55WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM56WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM56WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM57WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM57WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM58WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM58WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM59WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM59WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM60WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM60WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/WebMercatorQuad.json,http://schemas.opengis.net/tms/2.0/json/WebMercatorQuad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/WorldCRS84Quad.json,http://schemas.opengis.net/tms/2.0/json/WorldCRS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/WorldMercatorWGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/WorldMercatorWGS84Quad.json
