timestamp,target,source,type
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rec_spatial-subsetting_subset-crs-axis-names.adoc,https://www.opengis.net/spec/ogcapi-maps-1/1.0/rec/spatial-subsetting/subset-crs-axis-names,Recommendation 12
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_center-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/center-definition,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_width-height-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/width-height,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_map-success,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/map-success,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rec_spatial-subsetting_map-outside-bounds,https://www.opengis.net/spec/ogcapi-maps-1/1.0/rec/spatial-subsetting/map-outside-bounds,Recommendation 13
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#per_spatial-subsetting_map-outside-bounds,https://www.opengis.net/spec/ogcapi-maps-1/1.0/per/spatial-subsetting/map-outside-bounds,Permission 4
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rc_table_datetime,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/datetime,requirements_class
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_datetime_datetime-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/datetime/datetime-definition,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_datetime_datetime-response,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/datetime/datetime-response,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_datetime_subset-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/datetime/subset-definition,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_datetime_subset-response,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/datetime/subset-response,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_datetime-axis.adoc,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/datetime/axis,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rec_datetime_actual-datetime,https://www.opengis.net/spec/ogcapi-maps-1/1.0/rec/datetime/actual-datetime,Recommendation 14
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#per_datetime_closest,https://www.opengis.net/spec/ogcapi-maps-1/1.0/per/datetime/closest,Permission 5
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_datetime_map-success,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/datetime/map-success,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rc_table_general-subsetting,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/general-subsetting,requirements_class
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_general-subsetting_uniform-additional-dimensions,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/general-subsetting/uniform-additional-dimensions,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_general-subsetting_subset-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/general-subsetting/subset-definition,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rc_table_crs,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/crs,requirements_class
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_crs_crs-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/crs/crs-definition,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#per_crs_crs-curie,https://www.opengis.net/spec/ogcapi-maps-1/1.0/per/crs/crs-curie,Permission 6
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_crs_map-success,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/crs/map-success,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rc_table_orientation,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/orientation,requirements_class
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_orientation-orientation,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/orientation/orientation,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_orientation-response-headers,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/orientation/response-headers,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rc_table_projection,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/projection,requirements_class
